# Une seule colonne à remplir : slug_video, la dernière.
# Copie un slug depuis la liste commentée en bas. Laisse vide si tu ne sais pas.
# Puis : npm run import:episodes
episode	tool	pitch	toolUrl	slug_video
01	ui-ux-pro-max	Le skill UI/UX le plus populaire de GitHub	https://github.com/nextlevelbuilder/ui-ux-pro-max-skill	
02	21st.dev · Magic MCP	Le MCP qui pose de vrais composants pros	https://21st.dev/magic	
03	Higgsfield · Mission Mars	Générer une planète 3D + du motion (assets IA)	/higgsfield-mission-mars.zip	
04	Caveman	Fais parler ton IA comme un homme des cavernes	https://github.com/JuliusBrussee/caveman	
05	Hyperframe · HeyGen	Monter une vidéo en code, avec une IA	https://github.com/heygen-com/hyperframes	
06	MarkItDown · Microsoft	Arrête de cramer tes tokens avec tes fichiers Word	/markitdown-pack.zip	
07	gstack · Garry Tan (YC)	Une équipe d'ingénieurs dans Claude Code	https://github.com/garrytan/gstack	
08	System prompts leakés	Le repo qui « remplace » ton abonnement IA	https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools	
09	Free Claude Code	Faire tourner Claude Code sur un modèle gratuit	https://github.com/alishahryar1/free-claude-code	
10	Voicebox	Je n'ai pas dit un mot de cette vidéo	https://voicebox.sh	
11	Graphify	Ton IA rate 3 infos sur 10 sur un gros projet	https://github.com/Graphify-Labs/graphify	
12	Obsidian	Le second cerveau que ton IA peut lire	https://obsidian.md	
13	Graphify + Obsidian	Arrête de choisir entre Obsidian et Graphify	https://github.com/Graphify-Labs/graphify	

# --- tes vidéos, de la plus récente à la plus ancienne ---
# 2026-08-10-chatgpt-aussi-a-des-competences-et-c-est-pour-tout-le-monde   « ChatGPT aussi a des compétences. Et c’est pour tout le mon »
# 2026-08-08-ajouter-une-competence-a-claude-sans-coder-une-ligne   « Ajouter une compétence à Claude, sans coder une ligne. »
# 2026-08-06-ta-carte-de-code-peut-vivre-dans-ton-second-cerveau   « Ta carte de code peut vivre dans ton second cerveau. »
# 2026-08-04-la-memoire-de-ton-ia-ne-lui-appartient-pas   « La mémoire de ton IA ne lui appartient pas. »
# 2026-08-01-j-ai-lance-graphify-sur-mon-vrai-projet-verdict   « J’ai lancé Graphify sur mon vrai projet. Verdict. »
# 2026-07-31-ton-ia-rate-3-infos-sur-10-sur-un-gros-projet   « Ton IA rate 3 infos sur 10 sur un gros projet. »
# 2026-07-28-tu-ecoutes-ma-voix-depuis-le-debut-de-cette-video-sauf-que-j   « Tu écoutes ma voix depuis le début de cette vidéo. Sauf qu »
# 2026-07-25-tu-passes-de-claude-code-a-codex-pas-besoin-de-tout-reconfig   « Tu passes de Claude Code à Codex ? Pas besoin de tout reco »
# 2026-07-24-concours-claude-code   « 🎁 CONCOURS CLAUDE CODE »
# 2026-07-23-partie-2-dans-la-partie-1-claude-code-branche-sur-deepseek-s   « Partie 2. Dans la partie 1, Claude Code branché sur DeepSe »
