# Fill the `episode` column. Leave it empty when a reel had no script.
# Then: npm run import:scripts
slug	date	caption	episode	confidence
2026-08-10-chatgpt-aussi-a-des-competences-et-c-est-pour-tout-le-monde	2026-08-10	ChatGPT aussi a des compétences. Et c’est pour tout le monde		? 007-la-memoire (0.41)
2026-08-08-ajouter-une-competence-a-claude-sans-coder-une-ligne	2026-08-08	Ajouter une compétence à Claude, sans coder une ligne.		? 030-cest-quoi-un-skill (0.39)
2026-08-06-ta-carte-de-code-peut-vivre-dans-ton-second-cerveau	2026-08-06	Ta carte de code peut vivre dans ton second cerveau.	038-arrete-de-choisir-obsidian-graphify	1.00
2026-08-04-la-memoire-de-ton-ia-ne-lui-appartient-pas	2026-08-04	La mémoire de ton IA ne lui appartient pas.	037-obsidian	0.64
2026-08-01-j-ai-lance-graphify-sur-mon-vrai-projet-verdict	2026-08-01	J’ai lancé Graphify sur mon vrai projet. Verdict.		? 013-fable5-demo (0.40)
2026-07-31-ton-ia-rate-3-infos-sur-10-sur-un-gros-projet	2026-07-31	Ton IA rate 3 infos sur 10 sur un gros projet.		? 038-arrete-de-choisir-obsidian-graphify (0.45)
2026-07-28-tu-ecoutes-ma-voix-depuis-le-debut-de-cette-video-sauf-que-j	2026-07-28	Tu écoutes ma voix depuis le début de cette vidéo. Sauf que 	035-voicebox	0.77
2026-07-25-tu-passes-de-claude-code-a-codex-pas-besoin-de-tout-reconfig	2026-07-25	Tu passes de Claude Code à Codex ? Pas besoin de tout reconf		? 010-cross-model (0.54)
2026-07-24-concours-claude-code	2026-07-24	🎁 CONCOURS CLAUDE CODE		? 009-workflow-pro (0.35)
2026-07-23-partie-2-dans-la-partie-1-claude-code-branche-sur-deepseek-s	2026-07-23	Partie 2. Dans la partie 1, Claude Code branché sur DeepSeek		? 031-system-prompts-leak (0.42)
2026-07-22-faire-tourner-le-vrai-claude-code-celui-d-anthropic-sur-un-m	2026-07-22	Faire tourner le vrai Claude Code — celui d’Anthropic — sur 		? 031-system-prompts-leak (0.47)
2026-07-21-un-repo-github-compile-les-system-prompts-leakes-de-claude-c	2026-07-21	Un repo GitHub compile les system prompts leakés de Claude, 	031-system-prompts-leak	0.76
2026-07-20-ou-on-met-les-skills-la-vraie-reponse	2026-07-20	« Où on met les skills ? » — la vraie réponse 👇	030-cest-quoi-un-skill	0.80
2026-07-13-une-extension-te-paie-pendant-que-ton-ia-code	2026-07-13	Une extension te paie pendant que ton IA code 🤨		? 016-automatisation-sans-vps (0.34)
2026-07-11-j-ai-passe-un-vrai-projet-client-dans-l-ia-de-yc	2026-07-11	J’ai passé un vrai projet client dans l’IA de YC 👀		? 009-workflow-pro (0.30)
2026-07-10-le-president-de-yc-a-mis-une-equipe-d-ingenieurs-dans-claude	2026-07-10	Le président de YC a mis une équipe d’ingénieurs dans Claude	029-gstack-p1-presentation	0.72
2026-07-08-arrete-d-envoyer-tes-fichiers-word-dans-claude	2026-07-08	Arrête d’envoyer tes fichiers Word dans Claude 😳	028-markitdown	0.66
2026-07-07-tu-paies-des-tokens-sans-rien-taper	2026-07-07	😱 Tu paies des tokens sans rien taper.		? 028-markitdown (0.42)
2026-07-05-j-ai-monte-ma-video-avec-une-ia-elle-a-foire-un-truc-et-cart	2026-07-05	🎬 J’ai monté ma vidéo avec une IA. Elle a foiré un truc… et	027-skill-hyperframe	1.00
2026-07-04-j-ai-peut-etre-trouve-comment-garder-ton-abonnement-ia-gratu	2026-07-04	🦴 J’ai peut-être trouvé comment garder ton abonnement IA gr	026-skill-caveman	1.00
2026-07-02-j-ai-ajoute-ce-qui-manquait-de-vrais-assets-3d-et-la-ca-chan	2026-07-02	🪐 J’ai ajouté ce qui manquait : de vrais assets 3D. Et là, 	023-skill-higgsfield-mars	0.55
2026-07-01-anthropic-vient-de-faire-un-double-move-que-je-trouve-fascin	2026-07-01	Anthropic vient de faire un double move que je trouve fascin	025-fable5-retour-sonnet5	0.68
2026-06-30-partie-2-j-ai-couple-un-skill-ia-un-mcp-pour-coder-un-site-s	2026-06-30	⚠️ Partie 2 : J’ai couplé un skill IA + un MCP pour coder un		? 023-skill-higgsfield-mars (0.40)
2026-06-29-j-installe-un-mcp-qui-pose-de-vrais-composants-pros-directem	2026-06-29	⚙️ J’installe un MCP qui pose de vrais composants pros direc	022-skill-mcp-21st-dev	0.60
